objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,001santojhonny.jpg,,,"El Santo Jhonny", Folk Punk,2020,crudo,anarcopunk,"Bogotá, Colombia",4.7110, -74.0721,"El Santo Jhonny es un concepto musical que se constituye a través del novo fácil y encapsula malesteras sociales y personales en el contexto de la cultura popular colombiana",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://www.youtube.com/watch?v=xgTpfEJoYMo
demo_002,guaros.jpg,,,"Maldito Lisiado",Canción social,2016,Melalcolía,anarcopunk,"Bogotá, Colombia",4.6231, -74.0773,"Maldito Lisiado es un proyecto de cantautoria que combina estilos de la musica andina con musica popular, se plasma como una busqueda constante de un estilo singular que represente las sentimentalidades melancolicas de una generación.",Postcard_032,Image;StillImage,image/jpeg,eng,Public Domain,https://www.youtube.com/@watersgrabaciones8001
